Participant,TaskKey,CognitiveLoad,EEG_Delta_Mean,EEG_Theta_Mean,EEG_Alpha_Mean,EEG_Beta_Mean,EEG_Gamma_Mean,EEG_Delta_Var,EEG_Theta_Var,EEG_Alpha_Var,EEG_Beta_Var,EEG_Gamma_Var,EEG_Theta_Alpha_Ratio,EEG_Theta_Beta_Ratio,GSR_Mean,GSR_Var
1,1spl1,0,0.2395370066748739,0.17661380678795716,0.4145014818096627,0.2677452511396595,-0.2078201775204918,0.2009584829002181,0.24104921684739114,0.3453180270148457,0.5108307159118008,0.7200611429266557,0.4260872737795668,0.6596337577475809,18.194720935294693,1.9607585969105414
1,1spl2,0,0.725021900762443,0.41792052752846326,0.5979130730623808,0.3267721096033699,-0.05351517141424612,0.17005561341538514,0.318388635596865,0.3290530504612931,0.4134821289117229,0.6797814194068161,0.6989653607822953,1.2789357291134544,18.06747552353186,0.16797256792424548
1,1Item1,0,0.8425284463275245,0.5153610190156611,0.6740775445267436,0.36351127719185916,-0.1040155841071887,0.1881226775857231,0.24592938295880473,0.21438236235002395,0.4075138133763432,0.6281493758564405,0.764542629309723,1.4177304802731774,17.45508856023697,0.05633760597349271
1,1Item2,0,0.8435362331335127,0.5215880142675975,0.7171197509767585,0.298958851764925,-0.14232544213188833,0.2845339349932435,0.16637381559659026,0.224325450661017,0.44167378283243824,0.7273021029094774,0.7273373977356322,1.7446816156928744,17.686396187150837,0.438448249081201
1,1Item3,0,0.7974707664949136,0.44903554320924827,0.6380487467344372,0.30821730060605607,-0.15675789938874657,0.11921635418868759,0.11965594032329217,0.15966994144220578,0.42662945277898057,0.7439334652054177,0.7037636932972114,1.4568797431857903,16.48402198284366,0.09295843858612865
1,1Item4,0,0.8042233549404739,0.46350927643635464,0.6106958576301549,0.29032519605449714,-0.14570553418760118,0.18091858782398088,0.15767391406342068,0.19567034324638022,0.43533113315557864,0.7297691505803724,0.7589854587781997,1.5965175642310818,16.92872000284182,0.1418938194438449
1,1Item5,0,0.8244133401367448,0.51067927764053,0.7220349371465034,0.3185164563558772,-0.11355479814586644,0.1675542523138763,0.14593372490547724,0.18837977530689656,0.4564046669029564,0.6975838659362354,0.7072777931653378,1.6033057816850886,16.696622405331407,0.17807665067101752
1,1Item6,0,0.8404479252301735,0.5083370489600887,0.7139343928272358,0.32187302583064487,-0.2008146773608648,0.09817454742834525,0.12046353868084396,0.16198550910413015,0.4982989763250217,0.7099537204872258,0.7120220756350066,1.5793092511214144,16.152070468314616,0.020948802444660894
1,1Item7,0,0.7010759868237251,0.5075476235859294,0.6892760254213045,0.33442954892510157,-0.19064236247736507,0.09870877905900367,0.19543663932447972,0.21806286592474736,0.46481597297450983,0.6985692361782261,0.736348870598471,1.5176518453575623,17.292230203990865,0.47361921802746626
1,1Item8,0,0.7102548224758394,0.4973458063796162,0.7123878683445838,0.31538822743523487,-0.1849857374583448,0.281173060483413,0.22043034783592877,0.24129990845374755,0.48865533283532925,0.694631615803305,0.6981390725212486,1.5769320524331059,16.92716371459408,0.10960669811258793
1,1Item9,0,0.8789568491717582,0.7173777282190801,0.8408675135218092,0.33567379511456213,-0.17684759388477253,0.0919217257574043,0.1130314624158742,0.1347100273429722,0.48667639796591744,0.5910268769863655,0.8531400200744392,2.1371275819642657,17.431660526864114,0.3592328621655282
1,1Item10,0,0.9312561549226144,0.6164334233255371,0.749649662309309,0.3755120188142591,-0.08122006812859983,0.1449758526449447,0.17796537890100847,0.18736558096571657,0.4191157372655057,0.6500720882210564,0.82229533807073,1.6415810701091427,16.535687677723164,0.13813029186504514
1,2spl1,1,0.35080730625555845,0.13077359352113774,0.3603746294708247,0.26663812027009387,-0.20638164652770097,0.44498525934895966,0.34433345486297157,0.3380047526796489,0.6460181799323192,0.75562175124075,0.3628823520409407,0.49045347641295917,17.754678986022267,0.35732971122143875
1,2spl2,1,0.8562981603315188,0.4059212766436549,0.5441405726885703,0.32548755077444597,-0.15835922545444373,0.4807783215852363,0.16762493858607597,0.1386984370650534,0.35259193893208507,0.3903445483287759,0.7459860489579613,1.2471176683431116,17.709924379894026,0.08794594046111827
1,2Item1,1,0.9352409861549856,0.6658416312257948,0.779826999860549,0.44499001637252533,-0.13949952404154628,0.14822102575611934,0.14076936860495848,0.16367331427976584,0.469471147561412,0.5500843604542409,0.853832491682168,1.4963068950564402,17.883961519337493,0.14085782907899697
1,2Item2,1,1.1227470223395721,0.848656984764706,0.902279314946524,0.37097769380377016,-0.10661585844652402,0.028810686308905372,0.01540853628823545,0.056878503761431894,0.4913487177858691,0.5074492436043889,0.9405701424890072,2.287622670181305,18.13026247121754,0.10068684743095142
1,2Item3,1,1.0716091218188668,0.7541807733242917,0.8596021354701628,0.5152086765641954,-0.043558898661543104,0.030961999344379865,0.05119981705817553,0.08432419603493202,0.40720858199638355,0.49202764913573965,0.8773602825386528,1.4638355411440447,18.319724630352265,0.017828908460012574
